Full Course Info,Subject,Course,Title,Prerequisites
ACCT 2121 - Principles of ACCT I,ACCT,2121,Principles of ACCT I,MATH 1120 or MATH 1241 or MATH 1242 or STAT 1220 or STAT 1221 or STAT 1222 or STAT 2122
ACCT 2122 - Principles of ACCT II,ACCT,2122,Principles of ACCT II,ACCT 2121
ACCT 3300 - Prof Dev for Accountants,ACCT,3300,Prof Dev for Accountants,ACCT 3311 or ACCT 3323
ACCT 3323 - Intermediate Accounting I,ACCT,3323,Intermediate Accounting I,ACCT 2121 and INFO 2130
ACCT 3324 - Intermediate Accounting II,ACCT,3324,Intermediate Accounting II,ACCT 3323
ACCT 3325 - Intermediate Accounting III,ACCT,3325,Intermediate Accounting III,ACCT 3324
ACCT 3330 - Managerial Accounting,ACCT,3330,Managerial Accounting,ACCT 2122 or ACCT 3323
ACCT 3340 - ACCT Information Systems,ACCT,3340,ACCT Information Systems,ACCT 2121 and (ACCT 2122 or ACCT 3323) and INFO 2130 and (ECON 2101 or ECON 1201) and (ECON 2102 or ECON 1202) and (MATH 1120 or MATH 1241 or MATH 1242) and (STAT 1220 or STAT 1221 or STAT 1222)
ACCT 3350 - Introduction to Auditing,ACCT,3350,Introduction to Auditing,ACCT 3340 and (ACCT 3312 or ACCT 3324)
ACCT 4220 - Income Tax,ACCT,4220,Income Tax,ACCT 3311 or ACCT 3324
ACCT 6122 - Bus Tax II,ACCT,6122,Bus Tax II,ACCT 6121
ACCT 6150 - Tax Strategy & Policy,ACCT,6150,Tax Strategy & Policy,ACCT 6121
ACCT 6262 - Adv Fin Reporting and Anlys II,ACCT,6262,Adv Fin Reporting and Anlys II,ACCT 6261
ADMN 8420 - Adv Intern Educ Lead Part II,ADMN,8420,Adv Intern Educ Lead Part II,ADMN 8410
AEEE 4290 - Advanced Instrumentation,AEEE,4290,Advanced Instrumentation,ELET 2241
AERO 1102 - Foundations of Air Force II,AERO,1102,Foundations of Air Force II,AERO 1101
AERO 2102 - Evol of Aerospace Studies II,AERO,2102,Evol of Aerospace Studies II,AERO 2101
AERO 3102 - Leadership Studies II,AERO,3102,Leadership Studies II,AERO 3101
AERO 4102 - Prep for Active Duty II,AERO,4102,Prep for Active Duty II,AERO 4101
AFRS 3121 - Contemporary African Art,AFRS,3121,Contemporary African Art,ARTH 1211 or ARTH 1212
ANTH 3020 - Topics in Cultural Anth,ANTH,3020,Topics in Cultural Anth,ANTH 1101 or ANTH 1501
ANTH 3090 - Topics in Anthropology,ANTH,3090,Topics in Anthropology,ANTH 1101 or ANTH 1501
ANTH 3153 - Archaeological Analysis,ANTH,3153,Archaeological Analysis,ANTH 2151
ANTH 3601 - Foundations of Anth Theory,ANTH,3601,Foundations of Anth Theory,(ANTH 1101 or ANTH 1501) and ANTH 2171 and (ANTH 2151 or ANTH 2141) and (ANTH 2121 or ANTH 2161)
ANTH 3895 - Directed Individual Study,ANTH,3895,Directed Individual Study,ANTH 1101 or ANTH 1501
ANTH 4020 - Topics in Cultural Anth,ANTH,4020,Topics in Cultural Anth,ANTH 1101 or ANTH 1501
ANTH 4050 - Topics in Archaeology,ANTH,4050,Topics in Archaeology,ANTH 2151
