Section Prerequisites for Term: 202510,,,,,,,
,,,,,,,
Term,Subject,Course,Section,CRN,Part of Term,Title,Prerequisites
202510,ACCT,2121,001,20269,1,Principles of ACCT I,MATH 1120 or MATH 1241 or MATH 1242 or STAT 1220 or STAT 1221 or STAT 1222 or STAT 2122
,,,002,20270,1,Principles of ACCT I,MATH 1120 or MATH 1241 or MATH 1242 or STAT 1220 or STAT 1221 or STAT 1222 or STAT 2122
,,,003,20797,1,Principles of ACCT I,MATH 1120 or MATH 1241 or MATH 1242 or STAT 1220 or STAT 1221 or STAT 1222 or STAT 2122
,,,004,21051,1,Principles of ACCT I,MATH 1120 or MATH 1241 or MATH 1242 or STAT 1220 or STAT 1221 or STAT 1222 or STAT 2122
,,,005,21097,1,Principles of ACCT I,MATH 1120 or MATH 1241 or MATH 1242 or STAT 1220 or STAT 1221 or STAT 1222 or STAT 2122
,,,006,21492,1,Principles of ACCT I,MATH 1120 or MATH 1241 or MATH 1242 or STAT 1220 or STAT 1221 or STAT 1222 or STAT 2122
,,2122,001,20271,1,Principles of ACCT II,ACCT 2121
,,,002,20272,1,Principles of ACCT II,ACCT 2121
,,,003,20273,1,Principles of ACCT II,ACCT 2121
,,,004,20955,1,Principles of ACCT II,ACCT 2121
,,,090,21494,1,Principles of ACCT II,ACCT 2121
,,3300,001,22041,1,Prof Dev for Accountants,ACCT 3311 or ACCT 3323
,,,002,22829,1,Prof Dev for Accountants,ACCT 3311 or ACCT 3323
,,,003,24576,1,Prof Dev for Accountants,ACCT 3311 or ACCT 3323
,,3323,002,22691,1,Intermediate Accounting I,ACCT 2121 and INFO 2130
,,,003,22692,1,Intermediate Accounting I,ACCT 2121 and INFO 2130
,,,004,22693,1,Intermediate Accounting I,ACCT 2121 and INFO 2130
,,,005,22694,1,Intermediate Accounting I,ACCT 2121 and INFO 2130
,,,006,22695,1,Intermediate Accounting I,ACCT 2121 and INFO 2130
,,,090,24869,1,Intermediate Accounting I,ACCT 2121 and INFO 2130
,,,091,24870,1,Intermediate Accounting I,ACCT 2121 and INFO 2130
,,,093,22696,1,Intermediate Accounting I,ACCT 2121 and INFO 2130
,,,094,22697,1,Intermediate Accounting I,ACCT 2121 and INFO 2130
,,3324,001,23292,1,Intermediate Accounting II,ACCT 3323
,,,002,23293,1,Intermediate Accounting II,ACCT 3323
,,,003,23294,1,Intermediate Accounting II,ACCT 3323
,,,004,24839,1,Intermediate Accounting II,ACCT 3323
,,,005,26926,1,Intermediate Accounting II,ACCT 3323
,,3325,001,23296,1,Intermediate Accounting III,ACCT 3324
,,,002,23297,1,Intermediate Accounting III,ACCT 3324
,,,003,23298,1,Intermediate Accounting III,ACCT 3324
,,3330,001,21346,1,Managerial Accounting,ACCT 2122 or ACCT 3323
,,,002,21347,1,Managerial Accounting,ACCT 2122 or ACCT 3323
,,3340,001,22181,1,ACCT Information Systems,ACCT 2121 and (ACCT 2122 or ACCT 3323) and INFO 2130 and (ECON 2101 or ECON 1201) and (ECON 2102 or ECON 1202) and (MATH 1120 or MATH 1241 or MATH 1242) and (STAT 1220 or STAT 1221 or STAT 1222)
,,,002,24575,1,ACCT Information Systems,ACCT 2121 and (ACCT 2122 or ACCT 3323) and INFO 2130 and (ECON 2101 or ECON 1201) and (ECON 2102 or ECON 1202) and (MATH 1120 or MATH 1241 or MATH 1242) and (STAT 1220 or STAT 1221 or STAT 1222)
,,3350,001,21345,1,Introduction to Auditing,ACCT 3340 and (ACCT 3312 or ACCT 3324)
,,,002,23301,1,Introduction to Auditing,ACCT 3340 and (ACCT 3312 or ACCT 3324)
